GDP,CD,CND,H,L,AveW,GDP/L,AveH
4205.277,59.5,152.7,122889.0,58394.0,2.54,0.07201556666780834,2104.479912319759
4478.555,66.4,163.3,127604.0,60879.0,2.63,0.07356485816127072,2096.0265444570377
4773.931,71.8,177.9,133972.0,64025.0,2.73,0.07456354549004295,2092.4951190941038
4904.864,74.0,185.0,136172.0,65935.0,2.86,0.07438938348373397,2065.2460756805945
5145.914,84.8,199.8,139143.0,68027.0,3.02,0.07564517030002793,2045.4084407661664
5306.595,90.5,214.2,143024.0,70515.0,3.22,0.07525483939587323,2028.2776714174288
5316.391,90.0,228.8,140823.0,71007.0,3.4,0.0748713647950202,1983.2270057881617
5491.446,102.4,239.7,140043.0,71331.0,3.63,0.07698540606468436,1963.2838457332718
5780.048,116.4,257.4,144127.0,73788.0,3.9,0.07833317070526373,1953.25798232775
6106.371,130.5,286.1,150314.0,76902.0,4.14,0.07940457985488024,1954.6175652128684
6073.363,130.2,321.4,150547.0,78383.0,4.44,0.07748316599262596,1920.6588163249685
6060.875,142.2,349.2,146463.0,77071.0,4.74,0.07864014999156622,1900.3645988763606
6387.437,168.6,377.7,150687.0,79507.0,5.06,0.08033804570666733,1895.2670834014616
6682.805,192.0,408.4,155780.0,82600.0,5.44,0.08090562953995158,1885.956416464891
7052.711,213.3,450.2,162941.0,86829.0,5.88,0.08122529339276048,1876.5734950304623
7275.999,226.3,511.6,167633.0,89936.0,6.34,0.0809019636185732,1863.914339085572
7257.317,226.4,573.4,166633.0,90532.0,6.85,0.08016300313701233,1840.5977996730437
7441.485,244.0,625.4,167767.0,91292.0,7.43,0.0815130022345879,1837.696621828857
7307.314,253.0,646.3,163779.0,89685.0,7.87,0.0814775491999777,1826.1582204382003
7642.266,295.0,678.8,166077.0,90289.0,8.2,0.08464227093001361,1839.3935030845396
8195.295,342.2,721.6,174211.0,94543.0,8.49,0.08668325523835715,1842.664184550945
8537.004,380.4,757.2,177608.0,97529.0,8.73,0.08753297993417343,1821.0788585959049
8832.611,421.4,774.2,179575.0,99498.0,8.92,0.08877174415566143,1804.810146937627
9137.745,442.0,814.3,184787.0,102114.0,9.14,0.08948572184029614,1809.6147443053842
9519.427,475.1,862.3,189670.0,105375.0,9.44,0.09033857176749703,1799.9525504151839
9869.003,494.3,929.5,194925.0,108047.0,9.8,0.09133990763278944,1804.0760039612392
10055.129,497.1,994.2,196442.0,109528.0,10.2,0.09180418705719086,1793.5322474618363
10044.238,477.2,1020.2,192286.0,108434.0,10.51,0.0926299684600771,1773.299887489164
10398.046,508.1,1055.2,193316.0,108793.0,10.77,0.09557642495381137,1776.9157942147015
10684.179,551.5,1090.8,196699.0,110935.0,11.05,0.09631026276648488,1773.1013656645785
11114.646,607.2,1139.4,202067.0,114386.0,11.33,0.09716788767856206,1766.536114559474
11413.012,635.7,1179.8,207463.0,117410.0,11.65,0.09720647304318202,1766.9959969338215
11843.599,676.3,1241.4,210161.0,119819.0,12.04,0.09884575067393318,1753.987264123386
12370.3,715.5,1291.0,216596.0,122930.0,12.5,0.10062881314569266,1761.9458228259984
12924.876,779.3,1329.1,222346.0,126136.0,13.01,0.10246778080801675,1762.7481448595167
13543.774,855.6,1431.5,226894.0,129229.0,13.49,0.10480444791803697,1755.7514180253656
14096.033,912.6,1540.6,230609.0,132018.0,14.01,0.10677356875577572,1746.7996788316743
14230.726,941.5,1584.1,227725.0,132078.0,14.54,0.10774486288405337,1724.170565877739
14472.712,985.4,1613.4,225643.0,130634.0,14.96,0.11078824808242876,1727.2915167567403
14877.313,1017.8,1704.8,224449.0,130327.0,15.36,0.11415372869781396,1722.1987769226637
15449.757,1080.6,1821.4,227128.0,131755.0,15.68,0.11726125763728132,1723.8662669348412
15987.958,1128.6,1954.3,230400.0,134022.0,16.12,0.11929353389741983,1719.1207413708198
16433.148,1158.3,2081.3,234732.0,136432.0,16.74,0.12044936671748564,1720.5054532660959
16762.446,1188.1,2179.0,236610.0,137979.0,17.41,0.1214854869219229,1714.8261691996609
16781.485,1098.8,2264.5,234039.0,137225.0,18.06,0.12229174713062489,1705.5128438695572
16349.111,1012.1,2167.9,221573.0,131290.0,18.61,0.12452670424251658,1687.6609033437428
16789.751,1049.0,2268.9,222053.0,130335.0,19.05,0.1288199716116162,1703.7096712318255
17052.411,1093.5,2424.6,226014.0,131920.0,19.44,0.1292632731958763,1713.2656155245602
17442.759,1144.2,2493.5,230328.0,134154.0,19.73,0.13002041683438434,1716.8925264993961
17812.167,1191.8,2550.4,233870.0,136358.0,20.13,0.13062795728890128,1715.117558192405
18261.714,1247.3,2639.3,238609.0,138920.0,20.6,0.13145489490354162,1717.6000575871005
18799.622,1315.8,2639.3,243112.0,141801.0,21.03,0.13257749945345942,1714.4589953526422
19141.672,1356.5,2676.6,246571.0,144332.0,21.54,0.1326225092148657,1708.3598924701382
19612.103,1415.9,2796.3,250050.0,146611.0,22.04,0.13376965575570726,1705.5336911964314
20193.895,1488.8,2925.4,254165.0,148897.0,22.7,0.13562324962893813,1706.9853657226138
20692.087,1522.7,3006.5,257352.0,150906.0,23.51,0.1371190476190476,1705.3795077730506
20234.074,1628.9,3084.2,242613.0,142165.0,24.69,0.14232809763303203,1706.5592797101958
21407.693,2006.4,3500.2,251215.0,146276.0,25.91,0.14635137001285242,1717.404085427548
21822.037,2129.0,3868.1,259928.0,152531.0,27.57,0.14306624227206274,1704.0994945289808
